
Classifying The Data ...
    Number of input layer nodes  : 120
    Number of hidden layer nodes : 20
    Hidden Layer Activation Type : ReLU
    Output Layer Activation Type : Logistic

Frame Number 467, Classification: 3, Probability: 1.000000
Frame Number 468, Classification: 3, Probability: 1.000000
Frame Number 469, Classification: 3, Probability: 1.000000
Frame Number 470, Classification: 3, Probability: 1.000000
Frame Number 471, Classification: 3, Probability: 1.000000
Frame Number 472, Classification: 3, Probability: 1.000000
Frame Number 473, Classification: 3, Probability: 1.000000
Frame Number 474, Classification: 3, Probability: 1.000000
Frame Number 475, Classification: 3, Probability: 1.000000
Frame Number 476, Classification: 3, Probability: 1.000000
Frame Number 477, Classification: 3, Probability: 1.000000
Frame Number 478, Classification: 3, Probability: 1.000000
Frame Number 479, Classification: 3, Probability: 1.000000
Frame Number 480, Classification: 3, Probability: 1.000000
Frame Number 481, Classification: 3, Probability: 1.000000
Frame Number 482, Classification: 3, Probability: 1.000000
Frame Number 483, Classification: 3, Probability: 1.000000
Frame Number 484, Classification: 3, Probability: 1.000000
Frame Number 485, Classification: 3, Probability: 1.000000
Frame Number 486, Classification: 3, Probability: 1.000000
Frame Number 487, Classification: 3, Probability: 1.000000
Frame Number 488, Classification: 3, Probability: 1.000000
Frame Number 489, Classification: 3, Probability: 1.000000
Frame Number 490, Classification: 3, Probability: 1.000000
Frame Number 491, Classification: 3, Probability: 1.000000
Frame Number 492, Classification: 3, Probability: 1.000000
Frame Number 493, Classification: 3, Probability: 1.000000
Frame Number 494, Classification: 3, Probability: 1.000000
Frame Number 495, Classification: 3, Probability: 1.000000
Frame Number 496, Classification: 3, Probability: 1.000000
Frame Number 497, Classification: 3, Probability: 1.000000
Frame Number 498, Classification: 3, Probability: 1.000000
Frame Number 499, Classification: 3, Probability: 1.000000
Frame Number 500, Classification: 3, Probability: 1.000000
Frame Number 501, Classification: 3, Probability: 1.000000
Frame Number 502, Classification: 3, Probability: 1.000000
Frame Number 503, Classification: 3, Probability: 1.000000
Frame Number 504, Classification: 3, Probability: 1.000000
Frame Number 505, Classification: 3, Probability: 1.000000
Frame Number 506, Classification: 3, Probability: 1.000000
Frame Number 507, Classification: 3, Probability: 1.000000
Frame Number 508, Classification: 3, Probability: 1.000000
Frame Number 509, Classification: 3, Probability: 1.000000
Frame Number 510, Classification: 3, Probability: 1.000000
Frame Number 511, Classification: 3, Probability: 1.000000
Frame Number 512, Classification: 3, Probability: 1.000000
Frame Number 513, Classification: 3, Probability: 1.000000
Frame Number 514, Classification: 3, Probability: 1.000000
Frame Number 515, Classification: 3, Probability: 1.000000
Frame Number 516, Classification: 3, Probability: 1.000000
Frame Number 517, Classification: 3, Probability: 1.000000
Frame Number 518, Classification: 3, Probability: 1.000000
Frame Number 519, Classification: 3, Probability: 1.000000
Frame Number 520, Classification: 3, Probability: 1.000000
Frame Number 521, Classification: 3, Probability: 1.000000
Frame Number 522, Classification: 3, Probability: 1.000000
Frame Number 523, Classification: 3, Probability: 1.000000
Frame Number 524, Classification: 3, Probability: 1.000000
Frame Number 525, Classification: 3, Probability: 1.000000
Frame Number 526, Classification: 3, Probability: 1.000000
Frame Number 527, Classification: 3, Probability: 1.000000
Frame Number 528, Classification: 3, Probability: 1.000000
Frame Number 529, Classification: 3, Probability: 1.000000
Frame Number 530, Classification: 3, Probability: 1.000000
Frame Number 531, Classification: 3, Probability: 1.000000
Frame Number 532, Classification: 3, Probability: 1.000000
Frame Number 533, Classification: 3, Probability: 1.000000
Frame Number 534, Classification: 3, Probability: 1.000000
Frame Number 535, Classification: 3, Probability: 1.000000
Frame Number 536, Classification: 3, Probability: 1.000000
Frame Number 537, Classification: 3, Probability: 1.000000
Frame Number 538, Classification: 3, Probability: 1.000000
Frame Number 539, Classification: 3, Probability: 1.000000
Frame Number 540, Classification: 3, Probability: 1.000000
Frame Number 541, Classification: 3, Probability: 1.000000
